 镇街,名称,所属社区,类别名,地址,邮编,服务时间 ,lat,lng,town
 桂城,佛山市南海区桂城好好多生鲜街市,万馨居委,农贸市场,桂城街道平三路城东工业园A5地块（4座）,528200,6：00——20：00 ,23.027668,113.164046,桂城街道,平海路
 桂城,佛山市南海区桂城桂花市场,桂二社区,农贸市场,南海区桂城长堤路,528200,6：00——20：00 ,23.033551,113.133305,桂城街道,长堤路
 桂城,佛山市南海区桂城东方市场,平北社区,农贸市场,夏平路北侧,528251,3:30——12：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海超益农贸市场,叠北社区,农贸市场,桂城南一路,528200,5:00——21:00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城雄洲市场,叠北社区,农贸市场,桂城叠北村,528200,5:00——21:00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城泛阳新街市场,石肯四村,农贸市场,佛山市南海区桂城石 四村西新孖堂,528200,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城街林岳综合市场,林岳,农贸市场,南海区桂城平洲林岳,528251,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海桂城平西日兴市场,平西居委,农贸市场,平西大道,528200,6：00——20：00 ,23.024775,113.188095,桂城街道,平西街
 桂城,佛山市南海区桂城平洲平顺综合市场,东平,农贸市场,南海区桂城平洲中区环岛大道东侧,528251,6：00——20：00 ,23.031007,113.214799,桂城街道,东边大街
 桂城,佛山市南海区桂城叠南汇泉农贸市场,叠南社区,农贸市场,桂城文华北50号首层,528200,5:00——21:00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城西约华兴市场,西约社区,农贸市场,桂城南五路东,528200,5:00——21:00 ,23.045047,113.140395,桂城街道,环山路
 桂城,佛山市南海区桂城雷岗永盛市场,南约社区,农贸市场,桂城佛平二路,528200,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城叠南乐庆市场,叠南社区,农贸市场,桂城南一路,528200,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海桂城平洲市场,江滨社区,农贸市场,桂城平洲永安中路,528200,6：00——20：00 ,23.031854,113.204506,桂城街道,新市场中路
 桂城,佛山市南海区桂城平洲平南市场,平南,农贸市场,南海区桂城平洲平南梅园,528200,6：00——20：00 ,23.026154,113.194018,桂城街道,佛平五路
 罗村,佛山市南海区罗村罗湖市场,罗湖社区,农贸市场,佛山市南海区罗村罗湖区新湖二路,525226,6：00——20：00 ,23.059916,113.044964,狮山镇,新湖二路
 罗村,佛山市南海区罗村海宜市场,芦塘社区,农贸市场,佛山市南海区罗村芦塘村“小伙岗”地段,525226,6：00——19：00 ,23.066734,113.045484,狮山镇,状元路
 罗村,佛山市南海区罗村街边昌荣市场,街边社区,农贸市场,佛山市南海区狮山镇罗村街边,525226,5：30——22：30 ,23.039285,113.067304,张槎街道,昌荣二街
 罗村,佛山市南海区罗村金湖农贸市场,罗湖社区,农贸市场,佛山市南海区狮山镇罗村城西区长庚路,525226,6：00——18：00 ,23.062094,113.036766,狮山镇,金湖美食街
 罗村,佛山市南海区罗村务庄德银市场,务庄社区,农贸市场,佛山市南海区罗村务庄穗丰村外朗,525226,7：00——20：00 ,23.047735,113.018072,狮山镇,Y109(罗务路)
 大沥,佛山市南海区大沥沥丰市场,大沥沥兴社区,农贸市场,佛山市南海区大沥镇环镇路市场大道1号,528231,2:30——20：00 ,23.116412,113.114189,大沥镇,市场大道
 罗村,佛山市南海区罗村下柏志业市场,下柏社区,农贸市场,佛山市南海区罗村下柏工业大道21号,525226,6：00——21：00 ,23.031794,112.931068,丹灶镇,
 大沥,佛山市南海区大沥岐丰市场,黄岐岐城社区,农贸市场,佛山市南海区大沥镇黄岐岐西路68号,528248,5:00——20：00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海区大沥盈丰市场,盐步直街社区,农贸市场,佛山市南海区大沥镇盐步青龙街125号,528247,7:00——19：00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海区大沥新城南广场,大沥沥东社区,农贸市场,佛山市南海区大沥金贸大道,528231,8:00——22:00 ,23.104603,113.121646,大沥镇,墟日一街
 大沥,佛山市南海区大沥海北综合市场,黄岐泌冲社区,农贸市场,佛山市南海区黄岐海北三乡路泌冲中段18号,528248,4:00——23:00 ,23.134802,113.18349,大沥镇,三乡路
 大沥,佛山市南海区大沥黄岐三骏市场,黄岐白沙社区,农贸市场,佛山市南海区黄岐白沙兴联北路3号,528248,5:00——21:00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海区黄岐环宇综合市场,黄岐白沙社区,农贸市场,佛山市南海区大沥镇黄岐白沙村三乡路,528248,7:00——21:00 ,23.133469,113.19574,大沥镇,三乡路
 大沥,佛山市南海区大沥嘉洲市场,黄岐嘉怡社区,农贸市场,佛山市南海区大沥镇黄岐鄱阳西路,528248,5:00——20:00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海区大沥平地综合市场(华辉）,盐步平地社区,农贸市场,大沥镇盐步平地华辉西路,528247,5:30——20:00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海区大沥豪美豪乐综合市场,大沥沥东社区,农贸市场,南海区大沥体育路13、15、17、30、32、34号,528231,6:00——19:00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海区横江劲龙综合市场,盐步横江经济联合社,农贸市场,佛山市南海区盐步横江管理区横江村,528247,6:00——22:00 ,23.110561,113.165241,大沥镇,横沙路
 大沥,佛山市南海区大沥钟边市场,大沥钟边社区,农贸市场,大沥镇钟边村铁村牌方侧沥南市场,528231,6:00——19:00 ,23.093207,113.105405,大沥镇,北便街
 大沥,佛山市南海区黄岐岐发肉菜市场,黄岐社区,农贸市场,佛山市南海区大沥镇黄岐岐东村,528248,8:30——18:00 ,23.118367,113.191251,大沥镇,岐阳二路
 大沥,佛山市南海大沥盐步联安恒地商贸城,盐步联安经联社,农贸市场,佛山市南海区盐步联安乡“坦田”地段,528247,6:00——21:00 ,23.103451,113.15716,大沥镇,联桂路
 大沥,佛山市南海大沥盐步天龙城肉菜市场,盐步东秀社区,农贸市场,佛山市南海区盐步东秀盐秀路旁,528247,6:00——22:00 ,23.112482,113.116558,大沥镇,振兴路
 大沥,佛山市南海大沥虎榜和平市场,盐步河东居社区,农贸市场,佛山市南海大沥镇盐步河东虎榜新村口,528247,6:00——21:00 ,23.112482,113.116558,大沥镇,振兴路
 狮山,狮山官窑诚发市场,凤源社区,农贸市场,狮山镇官窑大道,528237,6：00——19：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,狮山新城光明市场,塘中居委,农贸市场,佛山市南海区狮山镇小塘办事处狮山新城开发区,528223,6：00——19：00 ,23.137188,112.957286,狮山镇,S263(广云路)
 狮山,狮山小塘协丰市场,塘中居委,农贸市场,佛山市南海区狮山镇小塘永安路80-85号,528222,5：00——20：00 ,23.094353,112.973019,狮山镇,永安路
 狮山,狮山海连天综合市场,城北社区,农贸市场,佛山市南海区狮山镇松岗桃园二路1号海连天综合市场57号商铺,528234,5：00——19：00 ,23.147135,113.094307,狮山镇,富民路
 狮山,狮山官窑润和市场,凤源社区,农贸市场,狮山镇官窑瑶平路北侧,528237,6：00——19：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,狮山沙水桃花市场,沙水社区,农贸市场,佛山市南海区松岗沙水村委会上沙村民小组（商铺1、商铺2、商铺3）,528234,5：00——19：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,狮山广场大利市场,狮城社区,农贸市场,佛山市南海区狮山中心城区狮城路狮山广场,528225,6：00——19：00 ,23.126822,113.005662,狮山镇,政协路
 狮山,佛山市南海区狮山信德综合市场,狮山华涌社区,农贸市场,佛山市南海区狮山镇狮山办事处华涌321国道边,528225,5：00——21：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,狮山南远物业管理市场（山南李边市场）,山南社区,农贸市场,佛山市南海区松岗沿江南路李边村民小组商铺A,528234,5：00——19：00 ,29.226381,91.742826,泽当镇,
 狮山,狮山松风综合市场,山南社区,农贸市场,佛山市南海区狮山镇松岗山南村李边经济合作社“村前田”松风市场商铺A21号,528234,5：00——19：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,南海龙丰商贸城,龙头社区,农贸市场,佛山市南海区狮山镇松岗龙头松石路龙头路段,528234,5：00——19：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,狮山官窑南门二市场,七甫社区,农贸市场,佛山市南海区狮山镇官窑起凤东路8号,528237,6：00——19：00 ,23.110288,113.003492,狮山镇,佛山一环辅路
 狮山,佛山市南海区松岗镇元岗日昌市场,万石社区,农贸市场,佛山市南海区狮山镇松岗万石村委会元岗村路口路段,528234,5：00——19：00 ,23.188008,113.082124,狮山镇,
 狮山,佛山市南海松岗塘联永合农贸综合市场,塘联社区,农贸市场,佛山市南海区狮山镇松岗塘联村委会“狮子脚”永合农贸综合市场二楼1号铺,528234,5：00——19：00 ,23.147192,113.096797,狮山镇,松岗大道
 狮山,佛山市南海区狮山恒兴综合市场,狮山工业园C区,农贸市场,佛山市南海区狮山镇狮山工业园创业路南侧13号,528225,5：00——20：00 ,23.094351,112.996885,狮山镇,创业路
 狮山,佛山市南海区官窑小榄市场,刘边村委,农贸市场,官窑小榄圩铺,528237,6：00——19：00 ,23.172976,112.998736,狮山镇,X512(官华路)
 狮山,佛山市南海区小塘燊星综合市场,五星村委会,农贸市场,佛山市南海区狮山镇小塘办事处五星工业区（杨坊村）,528222,7：00——19：00 ,23.041022,112.987393,狮山镇,X515(小塘工业大道)
 里水,佛山市南海区里水商贸中心市场,里水社区,农贸市场,佛山市南海区里水镇夏塘路41号,528244,6:00——20:30 ,23.187531,113.155164,里水镇,石荣路
 里水,佛山市南海区里水铜锣湾市场,和顺社区,农贸市场,佛山市南海区里水镇和顺花园大道38号,528244,6:00——20:30 ,23.098592,113.172479,大沥镇,华夏东路
 狮山,佛山市南海区松岗镇山南群益综合市场,山南社区,农贸市场,佛山市南海区狮山镇松岗山南鹤园盘龙岗山南综合市场A座二层42号商铺,528234,5：00——19：00 ,23.14925,113.097431,狮山镇,松石路
 狮山,佛山市南海区松岗石碣华兴农贸综合市场,石碣社区,农贸市场,佛山市南海区狮山镇松岗工业大道石碣路段1号（土名）“贤集市”办公楼203室,528234,5：00——19：00 ,23.147192,113.096797,狮山镇,松岗大道
 里水,佛山市南海区里水白岗市场,白岗村委会,农贸市场,佛山市南海区里水镇白岗村堂白路,528244,6:00——20:30 ,23.187531,113.155164,里水镇,石荣路
 里水,佛山市南海区里水太行市场,里水社区,农贸市场,佛山市南海区里水镇新联村太行129号,528244,6:00——20:30 ,23.195985,113.163931,里水镇,里广路
 里水,佛山市南海区和顺金泰市场,金和社区,农贸市场,佛山市南海区里水镇和顺大道26号之一,528244,6:00——20:30 ,23.187531,113.155164,里水镇,石荣路
 里水,佛山市南海里水宏岗市场,宏岗村委会,农贸市场,南海区里水镇中心大街2号,528244,6:00——20:30 ,23.187531,113.155164,里水镇,石荣路
 里水,佛山市南海里水大朗市场,得胜村委会,农贸市场,佛山市南海区里水镇里官路大朗路口,528244,6:00——20:30 ,23.212794,113.135905,里水镇,里水大道
 里水,佛山市南海里水大冲市场,大冲社区,农贸市场,南海区里水镇大冲大甘路1号内,528244,6:00——20:30 ,23.187531,113.155164,里水镇,石荣路
 九江,佛山市南海区九江镇溢丰市场,儒林社区,农贸市场,佛山市南海区九江镇人民路6号,528203,5：00——20：00 ,23.074541,113.029545,狮山镇,佳琪路
 九江,佛山市南海区九江河清海晏市场,河清村委会,农贸市场,佛山市南海区九江河清水闸旁,528203,5：00——20：00 ,22.852577,112.94844,九江镇,河清四村大道
 九江,佛山市南海九江洛浦汇港城综合市场,上西社区,农贸市场,佛山市南海区九江洛浦大道旁,528203,3：00——19：30 ,22.838823,113.019244,九江镇,G325(广南线)
 九江,佛山市南海九江远和综合市场,上东社区,农贸市场,佛山市南海区九江镇东福路3号,528203,5：00——20：00 ,23.028292,113.173175,桂城街道,深海路
 九江,佛山市南海区九江新龙恒扬综合市场,新龙村委会,农贸市场,佛山市南海区九江镇新龙村龙涌圩侧,528203,5：00——20：00 ,23.074541,113.029545,狮山镇,佳琪路
 西樵,佛山市南海区西樵樵生综合市场,西樵村,农贸市场,南海区西樵镇官山城区长堤路51号,528211,5:00——20:00 ,22.944566,112.971418,西樵镇,文明路
 九江,佛山市南海区青平购物中心,水南社区,农贸市场,佛山市南海区九江镇沙头青平路青平新村,528203,5：00——20：00 ,22.913975,113.021801,九江镇,清平路
 西樵,佛山市南海区西樵大德市场,崇南社区,农贸市场,佛山市南海区西樵镇崇南第十村小组黎涌开发区,528211,5:00——20:00 ,22.957021,112.983233,西樵镇,启沅路
 西樵,佛山市南海西樵同生市场,大同村委会,农贸市场,南海区西樵大桐管理区,528211,5:00——20:00 ,22.949658,112.976149,西樵镇,庆和街
 西樵,佛山市南海西樵民生市场,民乐社区,农贸市场,南海区西樵民乐圩影剧院侧民乐肉菜市场,528211,5:00——20:00 ,22.949658,112.976149,西樵镇,庆和街
 西樵,佛山市南海西樵百东市场,百东村委会,农贸市场,佛山市南海区西樵百东西便村与百西公路口三角地(坑底六斗),528211,5:00——20:00 ,22.949658,112.976149,西樵镇,庆和街
 西樵,佛山市南海西樵太平市场,太平社区,农贸市场,佛山市南海区西樵太平朝阳区旁,528211,5:00——20:00 ,22.949658,112.976149,西樵镇,庆和街
 丹灶,佛山市南海区丹灶鸿发农贸市场,丹灶社区,农贸市场,佛山市南海区丹灶镇富民路8号,528216,4：00——21:00 ,23.040849,112.911212,丹灶镇,富民路
 丹灶,佛山市南海区金沙联安综合市场,联沙社区,农贸市场,佛山市南海区金沙联沙开发区A座,528223,4：00——21:00 ,23.105101,113.169451,大沥镇,盐步大道
 丹灶,佛山市南海区丹灶镇罗行康泰市场,罗行社区,农贸市场,佛山市南海区丹灶镇罗行鼎安路105号之二,528223,4：00——21:00 ,23.029993,112.948123,丹灶镇,村前大街
 丹灶,佛山市南海丹灶长兴农贸市场,云溪社区,农贸市场,佛山市南海区丹灶镇横江海滨路,528216,4：00——21:00 ,23.050007,112.90691,丹灶镇,云峰路
